title,company,link
Data Analyst,Tata Consultancy Services,https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-4386876589?position=24&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=VqantNSKs5jyPL6G6%2FimfQ%3D%3D
Data Analyst - I,Electronic Arts (EA),https://in.linkedin.com/jobs/view/data-analyst-i-at-electronic-arts-ea-4364112662?position=25&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=7UMGOWDeYtUCIzYG9bC64Q%3D%3D
"Data Analyst, Web Analytics & Insights",WSP in India,https://in.linkedin.com/jobs/view/data-analyst-web-analytics-insights-at-wsp-in-india-4385923807?position=26&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=KGW0DpglFKLnEo2j%2BZmubQ%3D%3D
Data Analyst/Engineer – SCG India,SCG,https://in.linkedin.com/jobs/view/data-analyst-engineer-%E2%80%93-scg-india-at-scg-4298398443?position=27&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=JDFcSi65EXdFGYLdLL2%2Fzg%3D%3D
"Data Analyst (SQL,HDFS, Hive)",RiskInsight Consulting Pvt Ltd.,https://in.linkedin.com/jobs/view/data-analyst-sql-hdfs-hive-at-riskinsight-consulting-pvt-ltd-4370337080?position=28&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=Cab8Lmh651tSCxxnxsO2fg%3D%3D
Data Logger,SLB,https://in.linkedin.com/jobs/view/data-logger-at-slb-4376740793?position=29&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=Pv8NDgkfXG0fW9uJYQvroQ%3D%3D
"Data Analyst, Web Analytics & Insights",WSP in India,https://in.linkedin.com/jobs/view/data-analyst-web-analytics-insights-at-wsp-in-india-4385940108?position=30&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=8Ef3NLy0l4%2FWjOM7E3KZVQ%3D%3D
"Data Analyst, Web Analytics & Insights",WSP in India,https://in.linkedin.com/jobs/view/data-analyst-web-analytics-insights-at-wsp-in-india-4384491415?position=31&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=Oaw1Iky8wXUHSKwjskXx0w%3D%3D
Data Analyst,Virtusa,https://in.linkedin.com/jobs/view/data-analyst-at-virtusa-4348759479?position=32&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=AvqZyVkOAgCDUWs4VVjO3g%3D%3D
"Data Analyst, Web Analytics & Insights",WSP in India,https://in.linkedin.com/jobs/view/data-analyst-web-analytics-insights-at-wsp-in-india-4384494279?position=33&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=Ul3UtGvrjWM7TPp1bA6GLQ%3D%3D
Data analysis support officer,dnata Travel Group,https://in.linkedin.com/jobs/view/data-analysis-support-officer-at-dnata-travel-group-4384432880?position=34&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=4MlIKxpeF5hFmHwXfdoqXA%3D%3D
Data Analyst (Freelancer),Deccan AI Experts,https://in.linkedin.com/jobs/view/data-analyst-freelancer-at-deccan-ai-experts-4380371817?position=35&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=Gc0LTO0tDpcUlzVVWfVB6A%3D%3D
Data Analyst (Freelancer),Deccan AI Experts,https://in.linkedin.com/jobs/view/data-analyst-freelancer-at-deccan-ai-experts-4376557236?position=36&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=8rrUWuPVZ4NrAB%2Bodo4p0w%3D%3D
Decision Support Analyst,Reliance Retail,https://in.linkedin.com/jobs/view/decision-support-analyst-at-reliance-retail-4378320608?position=37&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=GKPVTf1LTWNqU1sVAf2vsQ%3D%3D
Data Analyst,Fusemachines,https://in.linkedin.com/jobs/view/data-analyst-at-fusemachines-4335416842?position=38&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=WvfSYHhYov5fvlaaWqreoQ%3D%3D
"Data Analyst (SQL,HDFS, Hive)",RiskInsight Consulting Pvt Ltd.,https://in.linkedin.com/jobs/view/data-analyst-sql-hdfs-hive-at-riskinsight-consulting-pvt-ltd-4305487917?position=39&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=U6lpQl%2Bc%2BSIUMu9y0%2BSFng%3D%3D
Data Analyst,Guidehouse,https://in.linkedin.com/jobs/view/data-analyst-at-guidehouse-4386908770?position=40&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=jFzZ9q7LnXUy4%2FSnUnUReA%3D%3D
Data Analyst,Midtown Software,https://in.linkedin.com/jobs/view/data-analyst-at-midtown-software-4372509916?position=41&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=b9mXZIcitk4Wiry6x2Ga%2BQ%3D%3D
Data Analysis,EXL,https://in.linkedin.com/jobs/view/data-analysis-at-exl-4342246167?position=42&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=%2FtkK4ukxFlxB7IikO7FuUA%3D%3D
Data Analyst (Freelancer),Deccan AI Experts,https://in.linkedin.com/jobs/view/data-analyst-freelancer-at-deccan-ai-experts-4380374789?position=43&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=YZ8cxVX4KlDuCG371RYQkg%3D%3D
Data Analyst - Contract,Deccan AI,https://in.linkedin.com/jobs/view/data-analyst-contract-at-deccan-ai-4381428792?position=44&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=AYG7hUCCC8Rhaptg21Jx0g%3D%3D
Data Analyst,Insight Global,https://in.linkedin.com/jobs/view/data-analyst-at-insight-global-4385293593?position=45&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=DOtsn2IXHMukrpydTlsHOQ%3D%3D
Data Analyst,super.money,https://in.linkedin.com/jobs/view/data-analyst-at-super-money-4380070915?position=46&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=xspmtdPxyhOaBh3qE%2BsH9A%3D%3D
Data Analyst,Publicis Production,https://in.linkedin.com/jobs/view/data-analyst-at-publicis-production-4385304370?position=47&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=4nB1eK8jKdH7ZfGCFp91Fg%3D%3D
Data Analyst (Freelancer),Deccan AI Experts,https://in.linkedin.com/jobs/view/data-analyst-freelancer-at-deccan-ai-experts-4380379677?position=48&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=UPrRyaQUU9PJidDIklNc5A%3D%3D
Data Analyst - SAP & Supply Chain,Capgemini,https://in.linkedin.com/jobs/view/data-analyst-sap-supply-chain-at-capgemini-4388506409?position=49&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=pMQcvyt8dCdFglb9WQ%2FrvQ%3D%3D
Data Analyst (Freelancer),Deccan AI Experts,https://in.linkedin.com/jobs/view/data-analyst-freelancer-at-deccan-ai-experts-4380378669?position=50&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=36mPK77M8PPZZR4gHF3I0Q%3D%3D
